Letter,Spoken Form
a,air
b,bat
c,cap
d,drum
e,each
f,fine
g,gust
h,harp
i,sit
j,jay
k,can
l,look
m,made
n,near
o,odd
p,pit
q,quench
r,red
s,sun
t,trap
u,urge
v,vest
w,where
x,plex
y,yank
z,zip
