Word(s),Spoken Form (If Different)
nmap,N map
under-documented,under documented
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
roscd,ross cd
std,stood
::,scope
eigen
TODO
NTRIP
RTK
GPS
int
min
mrover
util
grep
mkdir,make dir 
dir
cmake
bool
RTCM
RTCMs
ls,Ellis
roscore
rospy
rosrun
roslaunch
rostopic
rosnode
rosparam
basestation
auton
cout,see out
teleop
pcl
rviz
matplotlib
3d
manif
